,artist,track,energy,valence,preview_url
1023,Memphis La Blusera,Exactamente medianoche - En Vivo,840.0,570.0,https://p.scdn.co/mp3-preview/fcba66d46e563388cc31bcd2b8c4723565b8519e?cid=783e5bc2e5034e4daea6385e965c1e1f
1024,Sleepy John Estes,Street Car Blues,300.0,480.0,https://p.scdn.co/mp3-preview/77091798bc860cc61bd04c73f0dbcef4905469b0?cid=783e5bc2e5034e4daea6385e965c1e1f
1025,Schizoid,Dementia,990.0,40.0,https://p.scdn.co/mp3-preview/79008d288bc67d125844d19b091768619cccacc1?cid=783e5bc2e5034e4daea6385e965c1e1f
1026,Aiden,Killing Machine,980.0,220.0,https://p.scdn.co/mp3-preview/1f9b194b5cebbfa052e551f31080663843007909?cid=783e5bc2e5034e4daea6385e965c1e1f
1027,Dive,Contact,260.0,40.0,https://p.scdn.co/mp3-preview/ca0d99d49821086d01c6c20223f812e29ad2975b?cid=783e5bc2e5034e4daea6385e965c1e1f
1028,Barbara Lusch,Why Don't You Do Right,210.0,350.0,https://p.scdn.co/mp3-preview/56e190820bcbaa904558d2e643926347b77943e5?cid=783e5bc2e5034e4daea6385e965c1e1f
1030,Virtuoso,Beautiful Maria of My Soul,540.0,320.0,https://p.scdn.co/mp3-preview/2a0e3325f0f1435830cadb60a59f1a5e458d752a?cid=783e5bc2e5034e4daea6385e965c1e1f
1032,Judy Mowatt,Trade Winds,250.0,450.0,https://p.scdn.co/mp3-preview/e4532e3e8ed170ee709266fb65ee1a12d7ee8684?cid=783e5bc2e5034e4daea6385e965c1e1f
1033,Paul Rodgers,Alright Now,550.0,790.0,https://p.scdn.co/mp3-preview/18d8257d27d7ff3548dae4c1148f93f71488fe3f?cid=783e5bc2e5034e4daea6385e965c1e1f
1034,Dead Prez,Assassination,610.0,780.0,https://p.scdn.co/mp3-preview/8ce23db3376d9eb6a05a7828b6f7e92cda4e81e8?cid=783e5bc2e5034e4daea6385e965c1e1f
1035,David Cook,I Did it for You,830.0,410.0,https://p.scdn.co/mp3-preview/34fe8ffd485a5f7443680e0ef86b746c95266a06?cid=783e5bc2e5034e4daea6385e965c1e1f
1036,The Knack,A World Of My Own,670.0,490.0,https://p.scdn.co/mp3-preview/33dea966eac78cfe0abb46f2df048d241a031b08?cid=783e5bc2e5034e4daea6385e965c1e1f
1037,La Portuaria,Down On The Corner,370.0,650.0,https://p.scdn.co/mp3-preview/706b53b42b7b71c03e8806ad0ea42cb56fd984df?cid=783e5bc2e5034e4daea6385e965c1e1f
1038,Mulberry Lane,Come Dance With Me,870.0,670.0,https://p.scdn.co/mp3-preview/ca4668cc9c034e1434101f1bd9856c99547fbe17?cid=783e5bc2e5034e4daea6385e965c1e1f
1039,Liars,A Visit From Drum,840.0,660.0,https://p.scdn.co/mp3-preview/c16df7f40039086803833213e87b96a1d95ccae6?cid=783e5bc2e5034e4daea6385e965c1e1f
1040,Tom Barabas,More Than Words,440.0,280.0,https://p.scdn.co/mp3-preview/3d4203d7b531c7d9e1f0dbe03da2c23a1c51e00d?cid=783e5bc2e5034e4daea6385e965c1e1f
1041,Modeselektor,We Do It Too,980.0,600.0,https://p.scdn.co/mp3-preview/292e1725c8539e4fedc763c1ea2f54aba52978dc?cid=783e5bc2e5034e4daea6385e965c1e1f
1042,Chris Brown,Talking Drum (Isea '95),600.0,570.0,https://p.scdn.co/mp3-preview/ccf7ab2b70084b6037389f1d67432e33e0658357?cid=783e5bc2e5034e4daea6385e965c1e1f
1044,Shinehead,The Real Rock,460.0,650.0,https://p.scdn.co/mp3-preview/07709b51bad5d3ee31128df9dd5cf45492c1bee9?cid=783e5bc2e5034e4daea6385e965c1e1f
1045,Diesel Boy,Pocket Full of Stars,970.0,740.0,https://p.scdn.co/mp3-preview/b719374544f809992539e2a430393af2d25c21c0?cid=783e5bc2e5034e4daea6385e965c1e1f
1047,Various Artists,Back Into Business,780.0,760.0,https://p.scdn.co/mp3-preview/4945fb4e9fce2585c4cb480e40a74b0c493061b7?cid=783e5bc2e5034e4daea6385e965c1e1f
1048,Zeca Baleiro,Blues Do Elevador,260.0,380.0,https://p.scdn.co/mp3-preview/f1b73ef726bc564cf524b10b26bbb0d81a4af882?cid=783e5bc2e5034e4daea6385e965c1e1f
1049,The Lord Weird Slough Feg,Beast in the Broch,320.0,720.0,https://p.scdn.co/mp3-preview/7ff457079d1ad0d26a0edf93a58e73d918d43843?cid=783e5bc2e5034e4daea6385e965c1e1f
1050,Eddie Jones,Perfidia,670.0,960.0,https://p.scdn.co/mp3-preview/7334fd993260a9247c781361101ebf430e9fa8ae?cid=783e5bc2e5034e4daea6385e965c1e1f
1051,Pacha Massive,Just Want To See Ya,480.0,680.0,https://p.scdn.co/mp3-preview/ab1fcaab05569a7465e37f9d6c299efc6641b42b?cid=783e5bc2e5034e4daea6385e965c1e1f
1052,Gob,No Regrets,820.0,630.0,https://p.scdn.co/mp3-preview/77354945a4f9b66ef41f23a4935eca78fc0c1f7f?cid=783e5bc2e5034e4daea6385e965c1e1f
1053,Zuma,Inferior - Late Night Version,670.0,510.0,https://p.scdn.co/mp3-preview/3e77ea89b94ea8ffc25a7478164edf5e408060bd?cid=783e5bc2e5034e4daea6385e965c1e1f
1054,Nick Conolly,Pseudoephedrine,360.0,80.0,https://p.scdn.co/mp3-preview/eb6852bbf692ca6c6d501ac5e3261c2c9b185d69?cid=783e5bc2e5034e4daea6385e965c1e1f
1058,Steve Vai,Angel Food (Naked),640.0,430.0,https://p.scdn.co/mp3-preview/dbee3d3e5360f3608e853891a3497236a0315119?cid=783e5bc2e5034e4daea6385e965c1e1f
1059,Rickie Lee Jones,Coolsville - Live Acoustic Version,100.0,420.0,https://p.scdn.co/mp3-preview/a25c74b8b0a39c8825d51113260d7d015962cc8e?cid=783e5bc2e5034e4daea6385e965c1e1f
1061,The Fabulous Thunderbirds,I Can't Quit You Baby (Live) [Never Released],470.0,620.0,https://p.scdn.co/mp3-preview/f6527d2a85399d88d5ef0baad326e21cd91dd606?cid=783e5bc2e5034e4daea6385e965c1e1f
1064,Foo Fighters,Razor - Live Acoustic,270.0,220.0,https://p.scdn.co/mp3-preview/99f761ed226501dcdda695c423a64cdef8ee605c?cid=783e5bc2e5034e4daea6385e965c1e1f
1065,Faithless,Six,950.0,180.0,https://p.scdn.co/mp3-preview/2adf279e8ac6a3b902be72a4bf05a4911598d12a?cid=783e5bc2e5034e4daea6385e965c1e1f
1066,Jo Privat,Sous Les Ponts De Paris (Valse),440.0,920.0,https://p.scdn.co/mp3-preview/f27b3945d5de8c78039b989c7429615efcd935e0?cid=783e5bc2e5034e4daea6385e965c1e1f
1067,Marion Harris,Would You Like to Take a Walk? (Recorded March 1931),120.0,370.0,https://p.scdn.co/mp3-preview/189ccae23e0c25881765dea3ed5da2bc8dbac01d?cid=783e5bc2e5034e4daea6385e965c1e1f
1068,Gus Viseur,Le bal du p'tit jardin,170.0,790.0,https://p.scdn.co/mp3-preview/2e2b6fa692854cee833d985e832b6e1edd5b5dc4?cid=783e5bc2e5034e4daea6385e965c1e1f
1070,Rick Astley,Close to You,670.0,700.0,https://p.scdn.co/mp3-preview/578f9669b8420bf7ab1b0c14a276f2ad6f522df1?cid=783e5bc2e5034e4daea6385e965c1e1f
1071,Hot Chip,Hold On,830.0,620.0,https://p.scdn.co/mp3-preview/f8135e93420e1a640572f2e111d32d69eed8db0a?cid=783e5bc2e5034e4daea6385e965c1e1f
1072,Lollipop Lust Kill,Bury You,960.0,440.0,https://p.scdn.co/mp3-preview/52a6ece11cd065e5008bfa1b2be231bcc9f870ab?cid=783e5bc2e5034e4daea6385e965c1e1f
1073,Bill Douglas,Highland,270.0,470.0,https://p.scdn.co/mp3-preview/bf89b8efa8c35d6519455364c33f2ead6b9de157?cid=783e5bc2e5034e4daea6385e965c1e1f
1074,Los Fabulosos Cadillacs,Matador - Remasterizado 2008,960.0,640.0,https://p.scdn.co/mp3-preview/e37e6c734639b309ceaf5e63bce5caa1174ce218?cid=783e5bc2e5034e4daea6385e965c1e1f
1075,Philippe Jaroussky,Brassens: Colombine,120.0,670.0,https://p.scdn.co/mp3-preview/2d68f118fd1cac972e5970a9e29579bc1afc8ec1?cid=783e5bc2e5034e4daea6385e965c1e1f
1076,Chariots,Ghosts,840.0,80.0,https://p.scdn.co/mp3-preview/ba0d95e21cf46633649ac4ad6f1e2be463b62feb?cid=783e5bc2e5034e4daea6385e965c1e1f
1077,Mudhoney,It Is Us,930.0,160.0,https://p.scdn.co/mp3-preview/2f538c6d9f1fb3fb3b9e8e6679b67779f3c16ba6?cid=783e5bc2e5034e4daea6385e965c1e1f
1079,Kari Tapio,Rakkauden veteraani,560.0,500.0,https://p.scdn.co/mp3-preview/08b0f26fbcbb659a8cf0c79e98cfe5589863317a?cid=783e5bc2e5034e4daea6385e965c1e1f
1080,Bob Carlisle,Somewhere,600.0,220.0,https://p.scdn.co/mp3-preview/e3dc4b60069e0eceeb0614035c540da08cbd12ef?cid=783e5bc2e5034e4daea6385e965c1e1f
1081,Gwar,Surf of Syn,810.0,760.0,https://p.scdn.co/mp3-preview/d6e39a7fb8962088a35c73bedd51a149189426d3?cid=783e5bc2e5034e4daea6385e965c1e1f
1085,Various Artists,You Are! - Markus Guentner Fast Food Remix,400.0,320.0,https://p.scdn.co/mp3-preview/fd4f2719e8d678bef28baabfe60277c3619cba24?cid=783e5bc2e5034e4daea6385e965c1e1f
1086,James Scott Skinner,Mrs Scott Skinner / Mackenzie Hay / The Devil's Elbow,180.0,690.0,https://p.scdn.co/mp3-preview/6ddee855f3d8837430f2145de71c5ef78a49feab?cid=783e5bc2e5034e4daea6385e965c1e1f
1087,Evolution,Peyote,980.0,350.0,https://p.scdn.co/mp3-preview/a40d1eaa53baea47044a16b260e6f2626fe7218a?cid=783e5bc2e5034e4daea6385e965c1e1f
1089,Cake,Alpha Beta Parking Lot,650.0,850.0,https://p.scdn.co/mp3-preview/73482d093c80c29b82e3dfe58e69de3ed028600d?cid=783e5bc2e5034e4daea6385e965c1e1f
1090,Gustavo Cerati,Amo Dejarte Así,530.0,510.0,https://p.scdn.co/mp3-preview/116d5e88e0f6075388affb4977158bad94df175b?cid=783e5bc2e5034e4daea6385e965c1e1f
1091,Lore,Pluvialus,290.0,50.0,https://p.scdn.co/mp3-preview/ff4792d72d249847ff1edc8fb0002fea18b225a0?cid=783e5bc2e5034e4daea6385e965c1e1f
1092,Goldfinger,Forgiveness,830.0,760.0,https://p.scdn.co/mp3-preview/c035218dc7776c554eeea0bfcaa2f9e655a7d1a0?cid=783e5bc2e5034e4daea6385e965c1e1f
1093,The Embarrassment,Song For Val,840.0,790.0,https://p.scdn.co/mp3-preview/bad3b28e7d9904fbef4b67eb6f434d5a29226efe?cid=783e5bc2e5034e4daea6385e965c1e1f
1094,Tiny Bradshaw,The Train Kept-a-Rollin',550.0,730.0,https://p.scdn.co/mp3-preview/04d648a3e43b8f7a772de0dfb1ae3a555b1175ed?cid=783e5bc2e5034e4daea6385e965c1e1f
1098,Matteo Bonfanti e i Maledetti,Plaza De Mayo,660.0,910.0,https://p.scdn.co/mp3-preview/5d653b63b1a5bb220b60e3a75008afae3c13b058?cid=783e5bc2e5034e4daea6385e965c1e1f
1099,Naseebo Lal,Dil Naheen Lagda,680.0,950.0,https://p.scdn.co/mp3-preview/6dc298678f429681652f0f7e83280e9891fd6065?cid=783e5bc2e5034e4daea6385e965c1e1f
1100,Seal,Whirlpool - Live,660.0,600.0,https://p.scdn.co/mp3-preview/225ab74ca6112abfbd9b7093b44a7725035f453e?cid=783e5bc2e5034e4daea6385e965c1e1f
1102,Utopia,The Up,750.0,670.0,https://p.scdn.co/mp3-preview/e3255d5ba300144364381d579b0a57779b037b17?cid=783e5bc2e5034e4daea6385e965c1e1f
1103,Der Plan,Frisch Verliebt,680.0,960.0,https://p.scdn.co/mp3-preview/10ddb0ac584147ba8048ef6032feb22bbda20d51?cid=783e5bc2e5034e4daea6385e965c1e1f
1104,Eurythmics,Missionary Man,850.0,570.0,https://p.scdn.co/mp3-preview/751e410f3f28d1c0e83aaff9919820f6b3999c15?cid=783e5bc2e5034e4daea6385e965c1e1f
1106,Curtis (冷炫忱),Superstar Dog,880.0,910.0,https://p.scdn.co/mp3-preview/ff3032d17a97d7b33faf426b3321b707cff4974f?cid=783e5bc2e5034e4daea6385e965c1e1f
1107,Toby Emerson,Rapture - Toby Emerson Dub,890.0,890.0,https://p.scdn.co/mp3-preview/8cb794fd77f1c5f750e45c39160efbb3a688ec78?cid=783e5bc2e5034e4daea6385e965c1e1f
1108,Deep Forest,Madazulu,880.0,780.0,https://p.scdn.co/mp3-preview/390937b2fc2515888468ee35eaec61a657eb87ad?cid=783e5bc2e5034e4daea6385e965c1e1f
1109,Tampa Red,If I Had Known,250.0,700.0,https://p.scdn.co/mp3-preview/c186c7e5888da12aaa10ebce911a9aa0f44376df?cid=783e5bc2e5034e4daea6385e965c1e1f
1110,Every Time I Die,Depressionista,960.0,550.0,https://p.scdn.co/mp3-preview/b1dbe734c913e8e824e30508be95bb782f3d4118?cid=783e5bc2e5034e4daea6385e965c1e1f
1112,Diamond D,Intro (feat. Snooze & Verse),870.0,680.0,https://p.scdn.co/mp3-preview/f1bf3209d9df1931fe36caaa2430a7ef86be7271?cid=783e5bc2e5034e4daea6385e965c1e1f
1113,2Fresh,Get It Started - Original,740.0,180.0,https://p.scdn.co/mp3-preview/2da8560deee6366b50c41841242698a594984c86?cid=783e5bc2e5034e4daea6385e965c1e1f
1114,Ndala Kasheba,Marashi Ya Pemba,920.0,780.0,https://p.scdn.co/mp3-preview/4af47580436d315876198c27ca9426a9012899db?cid=783e5bc2e5034e4daea6385e965c1e1f
1115,New Roanoke Jug Band,Cold Icy Floor,260.0,610.0,https://p.scdn.co/mp3-preview/19600496c6fb3e0415a2972702fccd54fad64085?cid=783e5bc2e5034e4daea6385e965c1e1f
1117,Lady Saw,Bare As You Dare,610.0,780.0,https://p.scdn.co/mp3-preview/491bbe7266613956d24961a7ee323dd69632538a?cid=783e5bc2e5034e4daea6385e965c1e1f
1118,The Stranglers,It Only Takes Two to Tango,810.0,280.0,https://p.scdn.co/mp3-preview/01bc5b3c053adbb1b66eafe1f80152f64a8410b6?cid=783e5bc2e5034e4daea6385e965c1e1f
1119,Lyrics Born,Bad Dreams,670.0,890.0,https://p.scdn.co/mp3-preview/ba64561ecc8cd8cede8a83a65925fe732c50973b?cid=783e5bc2e5034e4daea6385e965c1e1f
1120,George Michael,Praying for Time - Remastered,620.0,260.0,https://p.scdn.co/mp3-preview/5a97180b45ac84ff9cd74fee0de818d9d6c20d9e?cid=783e5bc2e5034e4daea6385e965c1e1f
1121,Tulipunaruusut,Ilta Oulunjoella,420.0,980.0,https://p.scdn.co/mp3-preview/abbc6d36da0428522b9f9af2cc6998822f815590?cid=783e5bc2e5034e4daea6385e965c1e1f
1122,David Hudson & Friends,Monkey And Turtle,600.0,820.0,https://p.scdn.co/mp3-preview/1ffe09b0ce0148de11cdcbd4701ed0843a03daae?cid=783e5bc2e5034e4daea6385e965c1e1f
1123,Joe Satriani,Echo,600.0,660.0,https://p.scdn.co/mp3-preview/2fc6286e6e6194f145e079ef83b8b35fcaf52513?cid=783e5bc2e5034e4daea6385e965c1e1f
1124,Fruko Y Sus Tesos,"Mega Mosaico de Fruko: El Preso, El Caminante, Tania, El Ausente",670.0,880.0,https://p.scdn.co/mp3-preview/7d4bf16f66a161a7e049e261a65791cc9b59555e?cid=783e5bc2e5034e4daea6385e965c1e1f
1128,Faiz Ali Faiz,Lagian ne maujan,820.0,910.0,https://p.scdn.co/mp3-preview/f13e9d7ef4c5fdb4cb07c06d94351f9b067e5bd2?cid=783e5bc2e5034e4daea6385e965c1e1f
1129,Gold City,What Child Is This?,280.0,120.0,https://p.scdn.co/mp3-preview/2f29beeee0704eca9f5153fcfdd7149d163e3be3?cid=783e5bc2e5034e4daea6385e965c1e1f
1131,Restless Heart,That Rock Won't Roll,410.0,730.0,https://p.scdn.co/mp3-preview/d24bd0296fd83d0ee4d0a0e23fc86cf1a83a0621?cid=783e5bc2e5034e4daea6385e965c1e1f
1132,David Evans,Prison Bound Blues,450.0,470.0,https://p.scdn.co/mp3-preview/08b9b56b744c07cf4b8f27337d67d5ce705169ec?cid=783e5bc2e5034e4daea6385e965c1e1f
1133,Uriah Heep,Wake the Sleeper,870.0,200.0,https://p.scdn.co/mp3-preview/7c0216ffb8c7be01dc4f6866a6eff8025cc56d4f?cid=783e5bc2e5034e4daea6385e965c1e1f
1134,Stress Assassin,EU A4,510.0,40.0,https://p.scdn.co/mp3-preview/014a8ca42d2b61b4f68eb15a190ee562dae78667?cid=783e5bc2e5034e4daea6385e965c1e1f
1137,Sugarbomb,Gone,920.0,540.0,https://p.scdn.co/mp3-preview/b2eae096fd993e7be5d06fd9c34e971b30ee608e?cid=783e5bc2e5034e4daea6385e965c1e1f
1138,Various Artists,Ask Fi War,680.0,700.0,https://p.scdn.co/mp3-preview/910c7141c908aad3582337ecbfeaa3f5333211c9?cid=783e5bc2e5034e4daea6385e965c1e1f
1139,Mägo de Oz,Desde mi cielo - Versión 2011,550.0,290.0,https://p.scdn.co/mp3-preview/6741f24f990e6ab2edc6a545829d0c4b0691b46c?cid=783e5bc2e5034e4daea6385e965c1e1f
1140,Quinteto Violado,Olha Pro Ceu,840.0,750.0,https://p.scdn.co/mp3-preview/2bd5b45418c8b3d01111b17fed2a86583d37b1eb?cid=783e5bc2e5034e4daea6385e965c1e1f
1142,Kool Savas,Warum rappst du?,920.0,880.0,https://p.scdn.co/mp3-preview/7df208fbd3166cc137dec559c85a9a930ecb9524?cid=783e5bc2e5034e4daea6385e965c1e1f
1143,Mykill Miers,Get Money,580.0,680.0,https://p.scdn.co/mp3-preview/744df1f48ae2ae06e85d82c523c30802520eacd5?cid=783e5bc2e5034e4daea6385e965c1e1f
1147,Orbital,Are We Here?,610.0,320.0,https://p.scdn.co/mp3-preview/73e419181a76a6e518b4aac0c5b12515aa9f2113?cid=783e5bc2e5034e4daea6385e965c1e1f
1148,Bongzilla,Cutdown,810.0,470.0,https://p.scdn.co/mp3-preview/dc8e26db797039a9e6ceb1fc2e0ff1da4a402241?cid=783e5bc2e5034e4daea6385e965c1e1f
1149,2 minutos,Rompan Todo,960.0,820.0,https://p.scdn.co/mp3-preview/a58a43589eecd985392731da3eef14c9e4c6a374?cid=783e5bc2e5034e4daea6385e965c1e1f
1150,Orbital,Chime - Edit,920.0,330.0,https://p.scdn.co/mp3-preview/0b0b278c8126890642189c2bbd5d4d88d3a9fd12?cid=783e5bc2e5034e4daea6385e965c1e1f
1152,Estrellas Cubanas,Fin De Semana,790.0,920.0,https://p.scdn.co/mp3-preview/3110cbd8a7f7e814cb446175e72014dbaaa21c64?cid=783e5bc2e5034e4daea6385e965c1e1f
1153,Al Denson,Love Is Taking Hold,710.0,500.0,https://p.scdn.co/mp3-preview/58fff812d69edd9f9d72da865868c02c0e9bac03?cid=783e5bc2e5034e4daea6385e965c1e1f
1154,Various Artists,We Are Not Impartial,220.0,210.0,https://p.scdn.co/mp3-preview/58960b6e7c461c2cad32eb00c8f591d1573d523b?cid=783e5bc2e5034e4daea6385e965c1e1f
1156,The Dictators,Weekend,920.0,500.0,https://p.scdn.co/mp3-preview/e4ba1cb45a2f9c6ad71da314564e792a13c8daaf?cid=783e5bc2e5034e4daea6385e965c1e1f
1157,The Accursed,Slaughter The Gods,990.0,170.0,https://p.scdn.co/mp3-preview/604134301f70eb4ee7bae34eeecc59032e30bccb?cid=783e5bc2e5034e4daea6385e965c1e1f
1158,Eddy Raven,I Wanna Hear It From You - Digital Re-Recording,540.0,740.0,https://p.scdn.co/mp3-preview/d680e49af4f8b2b5431da1e2b23897171a4dfbef?cid=783e5bc2e5034e4daea6385e965c1e1f
1159,Floor,Heather,870.0,70.0,https://p.scdn.co/mp3-preview/c5443c9c6543651bb0d54749b8a99fde46740bd4?cid=783e5bc2e5034e4daea6385e965c1e1f
1160,Sulk,Only You - Chimi-Changa Club Mix,770.0,160.0,https://p.scdn.co/mp3-preview/84c32ff8726815577f090138933b9d29bf45defa?cid=783e5bc2e5034e4daea6385e965c1e1f
1161,Various Artists,Smoke - Enrico Su Remix,700.0,180.0,https://p.scdn.co/mp3-preview/67d993d3963cd0171f094583c1743d61f1a464a2?cid=783e5bc2e5034e4daea6385e965c1e1f
1162,Astarte,Oblivious Darkness,980.0,150.0,https://p.scdn.co/mp3-preview/c14ff9de3ffc3201c841bd442a6939f48e2e6b66?cid=783e5bc2e5034e4daea6385e965c1e1f
1163,Sergio Franchi,Silent Night,210.0,220.0,https://p.scdn.co/mp3-preview/69b50b7eb42abf6ca8d1a84e61b33bf3bfef9def?cid=783e5bc2e5034e4daea6385e965c1e1f
1165,"The London Pops Orchestra, Lord Nelson Corbin",The Way We Were,120.0,140.0,https://p.scdn.co/mp3-preview/add2a9299f97a301be5f1e048a288fd0aed87fa7?cid=783e5bc2e5034e4daea6385e965c1e1f
1167,Orbit,Nice Ride,700.0,360.0,https://p.scdn.co/mp3-preview/45abac32971d7facdcb8c49d01846b092662d808?cid=783e5bc2e5034e4daea6385e965c1e1f
1168,Bob Dylan,New Pony,570.0,830.0,https://p.scdn.co/mp3-preview/d290fac4c25b047abc57bea7c6bf440c7c16dcf7?cid=783e5bc2e5034e4daea6385e965c1e1f
1169,Heisenberg & The Albuquerque Kingpins,El Manisero (The Peanut Vendor),150.0,600.0,https://p.scdn.co/mp3-preview/3dd5fa900178157a8d5704775a8176880e5182b7?cid=783e5bc2e5034e4daea6385e965c1e1f
1170,Line Renaud,Gwendolina - Remasterisé en 2013,650.0,830.0,https://p.scdn.co/mp3-preview/13fcf5824375193098cc50433f319f9dc8b1d364?cid=783e5bc2e5034e4daea6385e965c1e1f
1171,Rhian Sheehan,Degrees of Freedom,520.0,610.0,https://p.scdn.co/mp3-preview/a77c10ec8df952cac7e99eee4412b560b506ea13?cid=783e5bc2e5034e4daea6385e965c1e1f
1172,Roy Brown,Love Don't Love Nobody,610.0,870.0,https://p.scdn.co/mp3-preview/3dd4ef0e22ef9250541de8fa32d0147a45347398?cid=783e5bc2e5034e4daea6385e965c1e1f
1173,Cumberland Quartet,One Day At A Time,300.0,530.0,https://p.scdn.co/mp3-preview/233dba5cc79a120f80ac2755579bd471c324bb80?cid=783e5bc2e5034e4daea6385e965c1e1f
1174,Ray Conniff,My Melody Of Love,490.0,470.0,https://p.scdn.co/mp3-preview/e92c6f864993f184d6dc77f1262c89d645128a7d?cid=783e5bc2e5034e4daea6385e965c1e1f
1175,Blind Willie McTell,Writing Paper Blues,200.0,330.0,https://p.scdn.co/mp3-preview/67c9f2c62ae2a008565eded5f79389ee03239194?cid=783e5bc2e5034e4daea6385e965c1e1f
1180,Since The Flood,All For Nothing,990.0,340.0,https://p.scdn.co/mp3-preview/6ab0946ca9321237e4ecacb26f97aba1fe8d0f80?cid=783e5bc2e5034e4daea6385e965c1e1f
1181,Various Artists,My Mind Got Bad,200.0,520.0,https://p.scdn.co/mp3-preview/e2babba441556e9c346583d1b2c2c9ddab1ac8ea?cid=783e5bc2e5034e4daea6385e965c1e1f
1183,Larry Graham,Turn It Out,810.0,800.0,https://p.scdn.co/mp3-preview/5df8314969b3eb76a11b6b8b887689cf96ea7d23?cid=783e5bc2e5034e4daea6385e965c1e1f
1184,Barley Bree,Flight Of Earls,350.0,670.0,https://p.scdn.co/mp3-preview/142c950e2b61f0e79bedc6a22fc10d63f36f26fb?cid=783e5bc2e5034e4daea6385e965c1e1f
1185,Faron young And Carl Smith,Hey Joe,610.0,650.0,https://p.scdn.co/mp3-preview/916b2ccb800e569e1160bed2d925cf2aa904d4e4?cid=783e5bc2e5034e4daea6385e965c1e1f
1186,Storyville,Enough,780.0,820.0,https://p.scdn.co/mp3-preview/1240694c1460e6ac8c43d091a7ebe9f75bd85862?cid=783e5bc2e5034e4daea6385e965c1e1f
1187,The High Strung,The Luck You Got,970.0,310.0,https://p.scdn.co/mp3-preview/0dd087886701fc835c9ba3a52ed8a6df5d7840ab?cid=783e5bc2e5034e4daea6385e965c1e1f
1188,Tony Martin,September Song,50.0,210.0,https://p.scdn.co/mp3-preview/44633558a2b3a509bd1f786e334fed4180d810c9?cid=783e5bc2e5034e4daea6385e965c1e1f
1189,Jo Privat,Rodriguez Peña,110.0,920.0,https://p.scdn.co/mp3-preview/126b41d59f9cb6b060293c56859998665e39385c?cid=783e5bc2e5034e4daea6385e965c1e1f
1190,James Carter,Strange Fruit,480.0,170.0,https://p.scdn.co/mp3-preview/9cc3a3953c2a4014142b314032fcd71065e6b03d?cid=783e5bc2e5034e4daea6385e965c1e1f
1192,Mithotyn,Guided By History,910.0,200.0,https://p.scdn.co/mp3-preview/a6a7b910cf7e7435841e88e03ac49eebf83b537b?cid=783e5bc2e5034e4daea6385e965c1e1f
1194,Various Artists,Missing You For A Mile,600.0,680.0,https://p.scdn.co/mp3-preview/372583d49eae01f3aec5825d02ad4633dde381d5?cid=783e5bc2e5034e4daea6385e965c1e1f
1195,Embrace The End,Ley Lines,980.0,220.0,https://p.scdn.co/mp3-preview/05505320fd3f9b4d3027c989fe30c11ae1c16e03?cid=783e5bc2e5034e4daea6385e965c1e1f
1197,Leonardo Favio,Porque Yo Te Amo,400.0,210.0,https://p.scdn.co/mp3-preview/52804002a31b8bf838b6353bbc7420adf1df2393?cid=783e5bc2e5034e4daea6385e965c1e1f
1198,Gloria Lasso,Termina La Feria,290.0,290.0,https://p.scdn.co/mp3-preview/949dec969f4514a2cd14607b6196ad17cd9220e1?cid=783e5bc2e5034e4daea6385e965c1e1f
1199,Patrick Bruel,Au bout de la marelle,670.0,590.0,https://p.scdn.co/mp3-preview/aa982f8c039132143605674cdbe68ff2d307fa1c?cid=783e5bc2e5034e4daea6385e965c1e1f
1200,Julie Zenatti,Ma douleur...,370.0,90.0,https://p.scdn.co/mp3-preview/3ba0189e7c0cd1876bac04d5c15852295d81ab77?cid=783e5bc2e5034e4daea6385e965c1e1f
1201,Delroy Wilson,Rain from the Skies Mix 2,480.0,820.0,https://p.scdn.co/mp3-preview/2e0be911aa7bb436ff14673626a06b704c553e37?cid=783e5bc2e5034e4daea6385e965c1e1f
1203,Pentangle,I Saw an Angel,740.0,550.0,https://p.scdn.co/mp3-preview/8560080e68cbd59aedb93ce6cfb762c4a628b958?cid=783e5bc2e5034e4daea6385e965c1e1f
1204,Los Tres Diamantes,Begin The Beguine,390.0,380.0,https://p.scdn.co/mp3-preview/b3ef8753fa6f5188eb91aaaa6939f4814a2ad276?cid=783e5bc2e5034e4daea6385e965c1e1f
1206,The Michael Landau Group,The Mighty Sb - Live,510.0,240.0,https://p.scdn.co/mp3-preview/080e7514de40b63cf045b892b921ed980f700404?cid=783e5bc2e5034e4daea6385e965c1e1f
1211,Various Artists,The Warriors - Deckard Rework,710.0,750.0,https://p.scdn.co/mp3-preview/d0cd4f77dec38189b05096b167199f383baa92e9?cid=783e5bc2e5034e4daea6385e965c1e1f
1212,Tantric,Coming Undone,940.0,600.0,https://p.scdn.co/mp3-preview/99112d1854bb84333a2fd794cf8ce830889c8a32?cid=783e5bc2e5034e4daea6385e965c1e1f
1213,The Bedwetters,Like a Deck of Cards,990.0,630.0,https://p.scdn.co/mp3-preview/9c59f2b4ba0ebf276ba0f1418d9b8c97e05681e5?cid=783e5bc2e5034e4daea6385e965c1e1f
1214,The Refreshments,Here We Are,930.0,900.0,https://p.scdn.co/mp3-preview/b9277c99e7a59a69f4af32158ff09c3c93c59e3c?cid=783e5bc2e5034e4daea6385e965c1e1f
